id,name,season,ip,so,bb,hr,er,gs
664299,Cristian Javier,2023,162.0,159,62,25,82,31
664353,José Urquidy,2023,63.0,45,25,11,37,10
665001,Trevor Kelley,2023,15.33,11,6,4,10,3
665152,Dean Kremer,2023,172.67,157,55,27,79,32
665622,Luis Medina,2023,109.67,106,57,14,66,17
665795,Edward Cabrera,2023,99.67,118,66,11,47,20
665871,Javier Assad,2023,109.33,94,41,13,37,10
666129,Braxton Garrett,2023,159.67,156,29,20,65,30
666142,Cole Ragans,2023,96.0,113,41,7,37,12
666142,Cole Ragans,2023,71.67,89,27,3,21,12
666142,Cole Ragans,2023,24.33,24,14,4,16,0
666154,Karl Kauffmann,2023,35.0,16,16,5,32,3
666157,Nick Lodolo,2023,34.33,47,10,10,24,7
666159,Matt Manning,2023,78.0,50,21,11,31,15
666200,Jesús Luzardo,2023,178.67,208,55,22,71,32
666201,Alek Manoah,2023,87.33,79,59,15,57,19
666204,Dany Jiménez,2023,23.33,21,14,3,9,1
666205,Kyle Muller,2023,77.0,56,39,16,65,13
666214,Joey Wentz,2023,105.67,98,47,25,81,19
666277,George Soriano,2023,52.0,52,23,6,22,1
666720,Yerry Rodríguez,2023,13.67,15,6,1,12,1
666745,Jhony Brito,2023,90.33,72,28,14,43,13
667755,José Soriano,2023,42.0,56,23,4,17,0
668665,Stephen Nogosek,2023,25.67,25,14,6,16,0
668676,Zach Plesac,2023,21.33,14,5,3,18,5
668678,Zac Gallen,2023,210.0,220,47,22,81,34
668834,Easton McGee,2023,6.67,2,1,0,0,1
668868,Zack Thompson,2023,66.33,72,25,8,33,9
668873,Caleb Kilian,2023,5.33,5,2,0,10,1
668881,Hunter Greene,2023,112.0,152,48,19,60,22
668909,Gavin Williams,2023,82.0,81,37,8,30,16
668933,Graham Ashcraft,2023,145.67,111,52,23,77,26
669022,MacKenzie Gore,2023,136.33,151,57,27,67,27
669060,Bryse Wilson,2023,76.67,61,22,9,22,0
669084,DL Hall,2023,19.33,23,5,2,7,0
669160,Dustin May,2023,48.0,34,16,1,14,9
669165,Kyle Hurt,2023,2.0,3,0,0,0,0
669194,Ryne Nelson,2023,144.0,96,46,24,85,27
669203,Corbin Burnes,2023,193.67,200,66,22,73,32
669211,Keegan Akin,2023,23.67,27,7,2,18,1
669276,Dylan Lee,2023,23.67,24,8,4,11,1
669302,Logan Gilbert,2023,190.67,189,36,29,79,32
669330,Tyler Wells,2023,118.67,117,34,25,48,20
669373,Tarik Skubal,2023,80.33,102,14,4,25,15
669387,Carmen Mlodzinski,2023,36.0,34,18,3,9,1
669395,Dylan Coleman,2023,18.33,21,19,3,18,1
669424,Jimmy Lambert,2023,37.67,41,20,10,22,1
669432,Trevor Rogers,2023,18.0,19,6,2,8,4
669438,Mason Englert,2023,56.0,41,17,12,34,1
669456,Shane Bieber,2023,128.0,107,34,14,54,21
669459,Kyle Nelson,2023,56.0,67,14,12,26,2
669461,Matthew Liberatore,2023,61.67,46,25,5,36,11
669467,Andre Pallante,2023,68.0,43,30,6,36,0
669674,Sam Long,2023,45.0,32,21,5,28,1
669713,Hayden Wesneski,2023,89.33,83,32,20,46,11
669721,Davis Daniel,2023,12.33,9,9,1,3,0
669724,Brenan Hanifee,2023,5.0,3,0,1,3,0
669854,Ronel Blanco,2023,52.0,52,28,12,26,7
669923,George Kirby,2023,190.67,172,19,22,71,31
669947,Jesse Scholtens,2023,85.0,58,30,15,50,11
670046,Kenny Rosenberg,2023,33.0,29,14,3,14,3
670102,Bowden Francis,2023,36.33,35,8,5,7,0
670124,Adam Oller,2023,19.67,13,12,5,22,1
670167,John Schreiber,2023,46.67,53,25,6,20,2
670174,Josh Winckowski,2023,84.33,82,31,9,27,1
670241,Darius Vines,2023,20.33,14,7,3,9,2
670766,Darren McCaughan,2023,5.0,10,3,1,3,0
670912,Johan Oviedo,2023,177.67,158,83,19,85,32
670950,Trevor Richards,2023,72.67,105,35,13,40,3
670970,Adrian Morejon,2023,9.0,8,5,1,7,1
671096,Andrew Abbott,2023,109.33,120,44,16,47,21
671106,Logan Allen,2023,125.33,119,48,16,53,24
671131,Jackson Rutledge,2023,20.0,12,6,4,15,4
671212,Joe Boyle,2023,16.0,15,5,1,3,3
671737,Taj Bradley,2023,104.67,129,39,23,65,21
672282,Reid Detmers,2023,148.67,168,60,19,74,28
672391,Kaleb Ort,2023,23.0,24,9,6,16,2
672578,Carlos Hernández,2023,70.0,77,31,10,41,4
672582,Angel Zerpa,2023,42.67,36,8,7,23,3
672710,Roansy Contreras,2023,68.33,55,32,11,50,11
672715,Luis Patiño,2023,21.67,18,14,3,11,1
672715,Luis Patiño,2023,4.0,5,2,2,4,0
672715,Luis Patiño,2023,17.67,13,12,1,7,1
672851,Joan Adon,2023,51.67,48,24,8,37,10
673540,Kodai Senga,2023,166.33,202,77,17,55,29
674003,Cody Bradford,2023,56.0,51,12,11,33,8
674072,Tommy Henry,2023,89.0,64,35,12,41,16
674370,Osvaldo Bido,2023,50.67,48,21,4,33,9
674444,Steven Cruz,2023,12.67,15,11,1,7,4
674681,Michael Plassmeyer,2023,3.67,4,0,3,9,1
675540,Xzavion Curry,2023,95.0,67,30,12,43,9
675627,Michael Grove,2023,69.0,73,19,12,47,12
675911,Spencer Strider,2023,186.67,281,58,22,80,32
675921,Spencer Howard,2023,3.33,2,3,1,4,0
676083,Janson Junk,2023,7.33,5,2,1,4,1
676092,Collin Snider,2023,20.33,11,13,3,11,1
676106,Emerson Hancock,2023,12.0,6,3,1,6,3
676130,José Buttó,2023,42.0,38,23,3,17,7
676254,Ryan Walker,2023,61.33,78,24,8,22,13
676272,Bobby Miller,2023,124.33,119,32,12,52,22
676440,Tanner Bibee,2023,142.0,141,45,13,47,25
676477,Garrett Whitlock,2023,71.67,72,13,13,41,10
676534,Calvin Faucher,2023,25.67,25,12,4,20,4
676596,Josh Fleming,2023,51.67,25,19,9,27,3
676664,JP Sears,2023,172.33,161,53,34,87,32
676684,Will Vest,2023,48.33,56,13,3,16,4
676710,Kutter Crawford,2023,129.33,135,36,17,58,23
676714,Brandon Hughes,2023,13.67,17,8,2,11,0
676775,Keaton Winn,2023,42.33,35,8,6,22,5
676979,Garrett Crochet,2023,12.67,12,13,1,5,0
677161,Zack Kelly,2023,9.33,6,8,0,4,0
677651,Luis Garcia,2023,27.0,31,10,3,12,6
677944,Slade Cecconi,2023,27.0,20,4,4,13,4
677960,Ryan Weathers,2023,57.67,43,29,12,42,12
677960,Ryan Weathers,2023,44.67,29,17,9,31,10
677960,Ryan Weathers,2023,13.0,14,12,3,11,2
678061,Ray Kerr,2023,27.0,35,9,5,13,0
678394,Brayan Bello,2023,157.0,132,45,24,74,28
679525,Alec Marsh,2023,74.33,85,39,16,47,8
680232,Jackson Wolf,2023,5.0,1,1,0,3,1
680570,Grayson Rodriguez,2023,122.0,129,42,16,59,23
680573,Simeon Woods Richardson,2023,4.67,5,3,1,5,0
680686,Josiah Gray,2023,159.0,143,80,22,69,30
680689,Lyon Richardson,2023,16.67,12,15,6,16,4
680694,Kyle Bradish,2023,168.67,168,44,14,53,30
680704,Nick Sandlin,2023,60.0,66,24,12,25,0
680723,Drew Rom,2023,33.67,32,19,7,30,8
680735,Austin Cox,2023,35.67,33,17,2,18,3
680742,Jonathan Bowlan,2023,3.0,3,0,1,1,1
681190,Randy Vásquez,2023,37.67,33,18,5,12,5
681217,Chase Silseth,2023,52.33,56,26,9,23,8
681432,Luke Little,2023,6.67,12,4,0,0,0
681806,Andrew Wantz,2023,39.33,33,15,4,17,3
681857,Reese Olson,2023,103.67,103,33,14,46,18
681867,Cooper Criswell,2023,33.0,27,11,6,21,0
681869,Shawn Dubin,2023,9.0,11,3,1,7,1
681882,Colin Selby,2023,24.0,30,15,4,24,5
681911,Alex Vesia,2023,49.67,64,17,7,24,1
682052,Jacob Lopez,2023,12.33,8,2,0,6,1
682175,Joe Jacques,2023,26.67,20,10,2,15,1
682227,Brandon Williamson,2023,117.0,98,39,18,58,23
682243,Bryce Miller,2023,131.33,119,26,18,63,25
682847,Luis Ortiz,2023,86.67,59,48,13,46,15
682990,Quinn Priester,2023,50.0,36,27,12,43,8
683155,Joey Estes,2023,10.0,7,2,4,8,2
683175,Connor Phillips,2023,20.67,26,13,5,16,5
683769,Hunter Gaddis,2023,42.0,24,14,6,21,7
685410,Peyton Battenfield,2023,34.67,27,12,7,20,6
686218,Emmet Sheehan,2023,60.33,64,26,11,33,11
686610,Ken Waldichuk,2023,141.0,132,71,24,84,22
686613,Hunter Brown,2023,155.67,178,55,26,88,29
686651,Levi Stoudt,2023,10.33,9,8,1,11,2
686730,Carson Spiers,2023,13.0,12,7,1,10,2
686752,Ryan Pepiot,2023,42.0,38,5,7,10,3
686753,Drey Jameson,2023,40.67,37,18,6,15,3
686826,Bryce Jarvis,2023,23.67,12,9,3,8,1
686839,Brendan White,2023,40.67,44,15,4,23,2
686973,Louis Varland,2023,68.0,71,17,16,35,10
687798,Nick Robertson,2023,22.33,26,9,3,15,1
687798,Nick Robertson,2023,12.0,13,5,2,8,1
687798,Nick Robertson,2023,10.33,13,4,1,7,0
687830,Sawyer Gipson-Long,2023,20.0,26,8,2,6,4
