date,id,home,away,hs,as,ot,hsog,asog,hpp,app
2024-11-18,2024020290,Montréal Canadiens,Edmonton Oilers,3,0,0,25.0,30.0,,
2024-11-18,2024020291,Dallas Stars,Anaheim Ducks,2,4,0,36.0,,,
2024-11-18,2024020292,Utah Hockey Club,Washington Capitals,2,6,0,26.0,,,
2024-11-18,2024020293,San Jose Sharks,Detroit Red Wings,5,4,1,34.0,,,
2024-11-19,2024020294,Ottawa Senators,Edmonton Oilers,2,5,0,29.0,31.0,,
2024-11-19,2024020295,Pittsburgh Penguins,Tampa Bay Lightning,2,3,1,19.0,,,
2024-11-19,2024020296,St. Louis Blues,Minnesota Wild,2,4,0,,28.0,,
2024-11-19,2024020297,Winnipeg Jets,Florida Panthers,6,3,0,27.0,,,
2024-11-19,2024020298,Chicago Blackhawks,Anaheim Ducks,2,3,0,,,,
2024-11-19,2024020299,Calgary Flames,New York Islanders,2,1,1,31.0,29.0,,
2024-11-19,2024020300,Vancouver Canucks,New York Rangers,3,4,0,24.0,33.0,,
2024-11-20,2024020301,Toronto Maple Leafs,Vegas Golden Knights,3,0,0,26.0,31.0,,
2024-11-20,2024020302,Philadelphia Flyers,Carolina Hurricanes,1,4,0,19.0,,,
2024-11-20,2024020303,Dallas Stars,San Jose Sharks,5,2,0,,23.0,,
2024-11-20,2024020304,Seattle Kraken,Nashville Predators,3,0,0,37.0,24.0,,
2024-11-20,2024020305,Los Angeles Kings,Buffalo Sabres,0,1,0,23.0,19.0,,
